,userID,username,cap_universal,cap_english,english_astroturf,english_fake_follower,english_financial,english_other,english_overall,english_self_declared,english_spammer,universal_astroturf,universal_fake_follower,universal_financial,universal_other,universal_overall,universal_self_declared,universal_spammer,status
1141,8.07618E+17,@melissa80074227,0.778449498,0.794672311,2,1.2,1.3,2.8,2,0.2,0.1,1.9,1.6,0.8,2.4,1.4,0.2,0.2,active
1142,9.52975E+17,@drennanfra,0.733499832,0.797075908,1.7,2.6,1.8,3.4,3.4,0.2,0.2,1,1.8,0.9,2.7,1.1,0.6,0.2,active
1143,1.29826E+18,@prisonreform15,0.574268603,0.553972572,1.8,0.4,0,0.8,0.6,0,0,2.4,0.6,0,0.9,0.6,0,0.1,active
1144,none,@majorunsilent,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,deleted
1145,1280180934,@juangogiraldo,0.660850031,0.796790579,2.6,1.4,0.8,2.9,2.9,0,0,2.8,1,0.2,1.4,0.8,0,0,active
1146,9.7031E+17,@xzxzanalazy,0.810212929,0.852404763,2.4,2.9,1.8,4.4,4.4,0.6,0.9,1.6,2.4,1.2,3.8,3.8,1,0.2,active
1147,1.30954E+18,@gibbshollister,0.733499832,0.705337782,1,0.9,0.4,0.8,1,0,0.2,0.6,1,0.4,1.6,1.1,0,0.1,active
1148,72577362,@stahlzart,0.832785604,0.796597152,3.2,1.2,0,2.7,3.2,0,0.1,4.2,0.8,0,1.2,4.2,0,0,active
1149,1941253760,@solarmelt,0.811509405,0.782635786,1.4,2.2,0.3,3.2,1.6,2.8,0.4,1.2,1.4,0.3,3.8,3.8,2.7,0.6,active
1150,304734661,@henryclarson,0.522239872,0.600488326,2.1,0.4,0.1,0.6,0.8,0,0,1.6,0.6,0.2,0.7,0.6,0,0.1,active
1151,1.29364E+18,@cosmogirl58,0.79471081,0.796636875,3.2,0.6,1,2.2,3.2,0.3,0.4,2.5,0.8,0.7,1.6,1.6,0.2,0.2,active
1152,581613862,@valeriecurren,0.808227838,0.798989041,3.6,2.3,1,3.4,3.6,0,0.5,3.6,2,1.2,2.7,3.6,0,0.3,active
1153,273576496,@fathomtimoneer,0.494490727,0.391215924,1,0.2,0,0.4,0.4,0,0,1.4,0.4,0,0.5,0.5,0,0,active
1154,7.25309E+17,@dabarbieridonna,0.805221689,0.797075908,1.9,2.2,1.2,3.4,3.4,0.2,0.2,1.2,2.2,1,3,3,0.4,0,active
1155,7.76394E+17,@elaines72172172,0.522239872,0.278725998,3.2,0.6,0,0.7,0.2,0,0,3.2,0.7,0,0.9,0.6,0,0,active
1156,7.14133E+17,@candync608,0.801617084,0.796636875,3.2,1.4,1,2.6,3.2,0.2,0.1,2.7,1.4,0.5,1.8,1.9,0.2,0,active
1157,8.92377E+17,@melisandrepro,0.620704985,0.528866478,1.5,0.2,0.1,1.4,0.6,0.1,0,1.6,0.4,0,1.2,0.8,0,0,active
1158,7.38944E+17,@2016melissa16,0.760577756,0.738478317,1.6,1,0,1.5,1.2,0,0.1,1.9,1,0,1.4,1.2,0,0.2,active
1159,830391134,@gamefiend,0.743720537,0.794672311,2.8,1,1.6,2,2,0.1,0.1,3.4,0.6,0.8,1.4,1.2,0,0,active
